"Forecasting Zone","Year","Building Type","Mid Case (M.Sq.Ft.)","Low Case (M.Sq.Ft.) ","High Case (M.Sq.Ft.)"
1,2015,"Hospitals",64.3215861797846,64.3215861797846,64.3215861797846
1,2016,"Hospitals",64.6008537483557,64.6008537483557,64.6008537483557
1,2017,"Hospitals",66.2977854819743,66.2977854819743,66.2977854819743
1,2018,"Hospitals",67.0980018843803,67.0980018843803,67.0980018843803
1,2019,"Hospitals",67.6670724589231,67.6670724589231,67.6670724589231
1,2020,"Hospitals",68.0438132248362,68.0438132248362,68.0438132248362
1,2021,"Hospitals",68.7281712804436,68.7281712804436,68.7281712804436
1,2022,"Hospitals",69.8786072901349,69.7821770142275,69.9164988238404
1,2023,"Hospitals",70.9173470626009,70.5330817822716,70.9768419627734
1,2024,"Hospitals",71.7663312182068,71.4333887674037,71.7771954514565
1,2025,"Hospitals",72.5373404890618,72.3105867829506,72.5168789164037
1,2026,"Hospitals",73.2870943984774,73.1258982573791,73.2425934549742
1,2027,"Hospitals",74.0562078849339,73.9218892532091,74.0053445977627
1,2028,"Hospitals",74.8272468921028,74.7056183938717,74.7420875359922
1,2029,"Hospitals",75.6305627674697,75.5450638437163,75.4948506683116
1,2030,"Hospitals",76.4420972366478,76.4014127116435,76.2538085309371
1,2031,"Hospitals",77.2665182122849,77.2716375617578,77.0214046287063
1,2032,"Hospitals",78.0879953394326,78.1372741434654,77.7894555352566
1,2033,"Hospitals",78.8970866867423,78.9929264395265,78.5440038642442
1,2034,"Hospitals",79.6857833993891,79.8299378047921,79.2709804117891
1,2035,"Hospitals",80.4354887992172,80.6369335964253,79.9547157732131
1,2036,"Hospitals",81.1936737467839,81.4567499042398,80.6434833123802
1,2037,"Hospitals",81.9631759867532,82.2918482590643,81.3394869885414
1,2038,"Hospitals",82.7345884503417,83.1326246727927,82.0318822863305
1,2039,"Hospitals",83.5126247834837,83.9851512799178,82.723964606678
1,2040,"Hospitals",84.2933666532657,84.847730389326,83.4146102133556
1,2041,"Hospitals",85.0762925447119,85.7163339267404,84.1080977622277
1,2042,"Hospitals",85.8617977640341,86.5866088357013,84.7974403051721
1,2043,"Hospitals",86.6315593113915,87.4475247772674,85.4647444415074
1,2044,"Hospitals",87.3981407675541,88.3111313769843,86.1299678956055
1,2045,"Hospitals",88.1260243488016,89.1347603340862,86.7544331605541
1,2046,"Hospitals",88.8653255724682,89.9721318910564,87.3831099835722
1,2047,"Hospitals",89.5863595060029,90.798608810123,87.9881804852461
1,2048,"Hospitals",90.2944408148618,91.6174329958303,88.5751782911444
1,2049,"Hospitals",91.0078566530044,92.4465149192466,89.1623356606974
1,2050,"Hospitals",91.7170387485939,93.2763292816032,89.7514592358019
1,1964,"Hotel/Motels",19.4093404290646,19.4093404290646,19.4093404290646
1,1965,"Hotel/Motels",19.423786912445,19.423786912445,19.423786912445
1,1966,"Hotel/Motels",19.6211496072635,19.6211496072635,19.6211496072635
1,1967,"Hotel/Motels",20.0526060067799,20.0526060067799,20.0526060067799
1,1968,"Hotel/Motels",20.3124412640324,20.3124412640324,20.3124412640324
1,1969,"Hotel/Motels",20.8626184770272,20.8626184770272,20.8626184770272
1,1970,"Hotel/Motels",23.9496960349385,23.9496960349385,23.9496960349385
1,1971,"Hotel/Motels",24.3030869503274,24.3030869503274,24.3030869503274
1,1972,"Hotel/Motels",29.4806305897226,29.4806305897226,29.4806305897226
1,1973,"Hotel/Motels",30.1221691866427,30.1221691866427,30.1221691866427
1,1974,"Hotel/Motels",30.7287043667211,30.7287043667211,30.7287043667211
1,1975,"Hotel/Motels",31.3893645370487,31.3893645370487,31.3893645370487
1,1976,"Hotel/Motels",31.6815455699752,31.6815455699752,31.6815455699752
1,1977,"Hotel/Motels",31.7930733339476,31.7930733339476,31.7930733339476
1,1978,"Hotel/Motels",32.0523794560148,32.0523794560148,32.0523794560148
1,1979,"Hotel/Motels",32.3724760406131,32.3724760406131,32.3724760406131
1,1980,"Hotel/Motels",32.6313811961199,32.6313811961199,32.6313811961199
