"years.list","small.office","restaurant","retail","grocery","warehouse","refrig.warehouse","school","college","hospital","hotel","misc","large.office","parking"
1970,7.29214491392794,2.33581996513857,7.73618974667337,2.64756915025140,2.58343286426509,0.349414228675695,8.36915451406244,4.64384312471889,4.1134402603152,2.74105790173675,9.2327211882445,5.08800545273698,0.259093251129493
1971,7.43566879716403,2.34604738943534,7.87996574995675,2.69677385221766,2.72826350504013,0.358924514828647,8.60327030610554,4.81752510487985,4.22939487802884,2.76168066122724,9.81083194453778,5.05285257680227,0.293936508390986
1972,7.56933194282216,2.38304658413766,8.15705492575211,2.79160254408368,2.91495987377638,0.369122963480374,8.76952678080752,4.88838711231761,4.30328078278962,2.78693288300526,10.2662389056620,5.26919196438178,0.294345967658086
1973,7.7628879311121,2.40526731790892,8.47376899889764,2.89999213081417,3.09366203999449,0.381362403284484,8.81468611196936,5.05670334954863,4.30280684093876,2.82464657111905,10.7216750575147,5.29783637211221,0.330324399683784
1974,7.87383958094778,2.45203882555065,8.76047862686468,2.99811324611024,3.39464873767823,0.416047668099025,9.0136340224581,5.11452114388293,4.33159113145506,2.92688805311054,11.4313871245834,5.26739201636698,0.330648235894567
1975,8.10424465445209,2.46554082782183,9.07436061648663,3.10553360416182,3.87414680432541,0.441639400922043,9.18168382532884,5.2716435419269,4.35935665812147,3.03463778108885,11.8824095419990,5.48840145258674,0.329719053756
1976,8.30653271783477,2.50676375990436,9.27518737332857,3.17426288089503,4.3611899472975,0.482307957077787,9.52007568267867,5.97754061920745,4.39460775104423,3.02379679387916,12.3115238916311,5.59923949072698,0.332651138041946
1977,8.52142984470813,2.56291051529677,9.83896373084943,3.36720500624235,4.49600829389241,0.51691835326833,9.8301854967293,5.97279355060683,4.49644202718239,3.0329306006681,13.0429351574594,5.57604580966041,0.346765452557768
1978,8.7153536180782,2.59250026904002,10.5134884893469,3.59804874200343,4.6789634178741,0.526879857743255,10.3003964854077,5.98952189392856,4.60011134226964,3.02333513457233,13.5479763759394,5.65149072309907,0.347433484737735
1979,9.00384318880395,2.61800641196092,11.3478060993282,3.88357865246716,5.01697213922048,0.599835333129888,10.4449212706463,6.12610097383112,4.62025448753951,3.04850034142926,13.9811583292972,5.66880140595126,0.355990198061564
1980,9.2740895502736,2.66300563850743,11.8288798310400,4.0482173199228,6.01569808555769,0.658705336356372,10.4500039599824,6.11962620746858,4.64962581580329,3.06646867651264,14.4107144962441,5.82559060152958,0.357299615239775
1981,9.41262230791208,2.6771303022848,12.2140036436191,4.18001888614603,6.73448803602904,0.696838401939053,10.4774240067448,6.20314073998224,4.74017569916796,3.30876275361589,14.7709610173828,6.04320109503184,0.360159929814902
1982,9.574,2.704,12.699,4.346,7.416,0.733,10.511,6.208,4.856,3.338,15.162,6.03,0.365
1983,9.71313338576067,2.74059940193351,12.8565644206569,4.39992353509529,8.52292934842132,0.79154180973306,10.5216167552096,6.22701231011115,4.92125633221436,3.32693685719016,15.3577222716515,6.2850618467428,0.367996769833473
1984,9.9285482110218,2.79958926995103,13.2989641101890,4.55132672044111,9.03944205331933,0.847969245697267,10.5795671428018,6.2517461487273,5.0334303768847,3.39277424110214,15.5943717962222,6.48223625050828,0.369941011107764
1985,10.2639852260566,2.86328535120542,13.8518668954708,4.74054756498277,9.740607680923,0.885158907178073,10.6360740416232,6.25768323107668,5.12787274913101,3.59342505351366,15.8095267308766,6.68105865996091,0.396080431702761
